id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,101.0001,101.2001,100.0,101.0001
1,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,111.20015000000001,111.20015000000001,101.2001,111.20015000000001
2,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,201.0001,201.2001,200.0,201.0001
2,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,211.20014999999998,211.20014999999998,201.2001,211.20014999999998
3,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,301.0001,301.20009999999996,300.0,301.0001
3,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,311.20014999999995,311.20014999999995,301.20009999999996,311.20014999999995
4,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,401.0001,401.20009999999996,400.0,401.0001
4,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,411.20014999999995,411.20014999999995,401.20009999999996,411.20014999999995
5,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,501.0001,501.20009999999996,500.0,501.0001
5,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,511.20014999999995,511.20014999999995,501.20009999999996,511.20014999999995
6,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,601.0001,601.2001,600.0,601.0001
6,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,611.20015,611.20015,601.2001,611.20015
7,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,701.0001,701.2001,700.0,701.0001
7,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,711.20015,711.20015,701.2001,711.20015
8,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,801.0001,801.2001,800.0,801.0001
8,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,811.20015,811.20015,801.2001,811.20015
9,COMP_M,SimpleCase,ServiceA,M.A,0,2,2,0,Sensor,0.2,901.0001,901.2001,900.0,901.0001
9,SINK_M,SimpleCase,Actuator,M.B,2,1,0,3,ServiceA,0,911.20015,911.20015,901.2001,911.20015
