id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,2.0000083333333336,10.988772378277154,1.0,2.0000083333333336
2,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,5.000017857142858,13.938565343176377,3.0,5.000017857142858
3,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,6.0000268707483,16.0000268707483,4.0,6.0000268707483
4,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,7.0000355263157905,16.876578736192332,5.0,7.0000355263157905
5,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,8.000043333333334,17.9379315320911,6.0,8.000043333333334
6,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,10.000208333333335,15.063499472573842,7.0,10.000208333333335
1,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,11.9887769237317,11.9887769237317,10.988772378277154,11.9887769237317
10,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,12.000075000000002,20.988839044943823,11.0,12.000075000000002
7,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,13.000384090909092,17.969328190287975,8.0,13.000384090909092
8,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,15.000552192982457,20.03199873386296,9.0,15.000552192982457
2,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,15.938574650535685,15.938574650535685,13.938565343176377,15.938574650535685
13,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,16.000109523809527,24.93865700984305,14.0,16.000109523809527
9,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,17.000718333333335,21.938989938271607,10.0,17.000718333333335
3,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,18.00003651824366,18.00003651824366,16.0000268707483,18.00003651824366
6,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,19.000041063698205,19.000041063698205,15.063499472573842,19.000041063698205
16,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,19.000135204081637,29.000135204081637,17.0,19.000135204081637
