id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,2,0,SimpleCase,1.0001,M.A,100,1000,0
1,LINK,0,3,SimpleCase,10.00005,M.B,101.2001,500,0
2,LINK,2,0,SimpleCase,1.0001,M.A,200,1000,0
2,LINK,0,3,SimpleCase,10.00005,M.B,201.2001,500,0
3,LINK,2,0,SimpleCase,1.0001,M.A,300,1000,0
3,LINK,0,3,SimpleCase,10.00005,M.B,301.20009999999996,500,0
4,LINK,2,0,SimpleCase,1.0001,M.A,400,1000,0
4,LINK,0,3,SimpleCase,10.00005,M.B,401.20009999999996,500,0
5,LINK,2,0,SimpleCase,1.0001,M.A,500,1000,0
5,LINK,0,3,SimpleCase,10.00005,M.B,501.20009999999996,500,0
6,LINK,2,0,SimpleCase,1.0001,M.A,600,1000,0
6,LINK,0,3,SimpleCase,10.00005,M.B,601.2001,500,0
7,LINK,2,0,SimpleCase,1.0001,M.A,700,1000,0
7,LINK,0,3,SimpleCase,10.00005,M.B,701.2001,500,0
8,LINK,2,0,SimpleCase,1.0001,M.A,800,1000,0
8,LINK,0,3,SimpleCase,10.00005,M.B,801.2001,500,0
9,LINK,2,0,SimpleCase,1.0001,M.A,900,1000,0
9,LINK,0,3,SimpleCase,10.00005,M.B,901.2001,500,0
